id,moduleId,subtopicNo,title,description,videoUrl,notesUrl,learningOutcome,referenceUrl,notesDownloadUrl,flashCardsDownloadUrl,flashCardsUrl,mindMapDownloadUrl,mindMapUrl,otherDownloadUrl,otherUrl,quizFileDownloadUrl,quizFileUrl,referenceDownloadUrl,simulationUrl,audioDownloadUrl,audioUrl
cmppr7rif0001smq6mnae7vzt,cmpplqlq40007h2qdsqpwwb6s,2.3,2.3 Layout of Page Element,Grids and visual hierarchy.',https://drive.google.com/file/d/17Vms6zUww3OBq3hYFN_PiEGbeHP6Mndm/preview,https://drive.google.com/file/d/1khbe4yD0_OzSVHUmbkeOeOXCcefxaeiH/view?usp=drive_link,Apply principles of good user interface design,,,,,,,,,,,,,,
cmpprbkvc000asmq6qrq20l4z,cmpprbkvb0006smq6prl6zpa3,3.4,3.4 Lookup and Feedback Patterns,Search lookup and user confirmation patterns,https://www.youtube.com/watch?v=b7CxLVHMLOc,https://drive.google.com/drive/u/0/folders/1igviPAsDq_ZLxHBEBoSRQIXFScNlaCAW,,,,,,,,,,,,,,,
cmpprf4uq000dsmq6sq52oj1c,cmpprf4uq000csmq6xv4jxewu,4.1,4.1 Patterns for actions and commands,"Buttons, menus, and controls",https://www.youtube.com/watch?v=7MjvBqlRzCY,https://drive.google.com/drive/u/0/folders/1ORA38UBpkVWnkRfefl695PSzf08-qOMv,,,,,,,,,,,,,,,
cmpprf4uq000esmq6v56wg2g4,cmpprf4uq000csmq6xv4jxewu,4.2,"4.2 Patterns for information graphics: Overview plus detail Datatips, Data Spotlight, Dynamic Queries","Data display patterns, detail tooltips.",https://www.youtube.com/watch?v=b7CxLVHMLOc,https://drive.google.com/drive/u/0/folders/1-kSrMtBpv4ivfnHVucqXyjyAbXaAdufV,,,,,,,,,,,,,,,
cmpprf4ur000fsmq648rcydtd,cmpprf4uq000csmq6xv4jxewu,4.3,"4.3 Patterns with form design: Forgiving Format, Structured Format, Fill-in-the-Blanks, Input Hints, Input Prompt, Password Strength Meter, Autocompletion",Form usability patterns and input validation,https://www.youtube.com/watch?v=xCrhKzyxp0M,https://drive.google.com/drive/u/0/folders/14YVRR-lGVe8vcDZTkxv4XbYyLBXVT94Q,,,,,,,,,,,,,,,
cmpprf4ur000gsmq6n6jvrjwp,cmpprf4uq000csmq6xv4jxewu,4.4,"4.4 Pattern with social content production: Editorial Mix, Personal Voices, Repost and Comment, Conversation Starter, Inverted Nano-pyramid","Review systems, comment inputs and sharing",https://www.youtube.com/watch?v=CBm9gdwshf8,https://drive.google.com/drive/u/0/folders/1hEulwjiMSCC39-l_tsoHfArBFiislxQ8,,,,,,,,,,,,,,,
cmpprh73q000jsmq6mpqhjr6j,cmpprh73q000ismq69sctmnjk,5.1,"5.1 Managing mobile component - Display of information, control and confirmation : Vertical List, Infinite List, Thumbnail List, Fisheye List, Carousel Grid, Film Strip, Slideshow, Infinite Area, Select List",Scroll lists and layout patterns on mobile,https://www.youtube.com/watch?v=dfy_8llodDE,https://drive.google.com/drive/u/0/folders/1QFKiDc8dAo7BfulLJXi8ZV9oId8_feWe,,,,,,,,,,,,,,,
cmpprh73q000ksmq68p9x8b6q,cmpprh73q000ismq69sctmnjk,5.2,"5.2 Pattern for Lateral access: Tabs, Peel Away, Simulated 3D Effects, Pagination, Location Within, Pattern for Drill down: Link, Button, Indicator, Icon",Navigation mechanisms on mobile.,https://www.youtube.com/watch?v=OZRczPw1BBw,https://drive.google.com/drive/u/0/folders/1FKyAvjIXZtStZfbSbIT-6z3wDF2SfSM4,,,,,,,,,,,,,,,
cmpprh73q000lsmq61uap4ffk,cmpprh73q000ismq69sctmnjk,5.3,"5.3 Pattern for Labels and Indicators, Patterns for Information Control: Ordered Data, Tooltip, Avatar, Wait Indicator, Reload, Synch, Stop",Status patterns and identifiers.,https://www.youtube.com/watch?v=xCrhKzyxp0M,https://drive.google.com/drive/u/0/folders/1RgHBHTyASelsilwZcIQR8swxpnshH1Fq,,,,,,,,,,,,,,,
cmpprh73q000msmq6drrgox8d,cmpprh73q000ismq69sctmnjk,5.4,"5.4 Patterns for Navigation: Global Navigation, Contextual Navigation, User interactions, Secondary actions , In Content messages",Global drawer structures and quick options,https://www.youtube.com/watch?v=PlSFEn97FgM,https://drive.google.com/drive/u/0/folders/1v2aEYi5lH0UoodT_NpDWMdQ0dBJhg32z,,,,,,,,,,,,,,,
cmpprbkvb0007smq6cy7rxiej,cmpprbkvb0006smq6prl6zpa3,3.1,"3.1 In-Page Editing : Single-Field Inline Edit, Multi-Field Inline Edit, Overlay Edit, Table Edit, Group Edit, Module Configuration, Drag and Drop","Single-Field, Multi-Field, Drag and Drop editing.",https://www.youtube.com/watch?v=xCrhKzyxp0M,https://drive.google.com/drive/u/0/folders/118ICJl2vMPuRz2e1vNNjBgN9tiACVhNx,Design web user interface with UI design patterns,,,,,,,,,,,,,,
cmpprbkvb0008smq60cx9w7t2,cmpprbkvb0006smq6prl6zpa3,3.2,"3.2 Contextual Tools, ●Overlays and Inlays",Providing tools without leaving context,https://www.youtube.com/watch?v=xCrhKzyxp0M,https://drive.google.com/drive/u/0/folders/1y53XWu9hy5nmmvE_NH7UG8R8kii9IoBU,,,,,,,,,,,,,,,
cmpprbkvc0009smq65mcsu5fd,cmpprbkvb0006smq6prl6zpa3,3.3,"3.3 Static and Dynamic invitation, Transition Patterns",Guiding user interactions dynamically,https://www.youtube.com/watch?v=u6wPJifxvvw,https://drive.google.com/drive/u/0/folders/1KY4vIaj4Ho1D0o-WZxMmyF6wHMCSQttv,,,,,,,,,,,,,,,
cmpprh73q000nsmq6mf25s7rj,cmpprh73q000ismq69sctmnjk,5.5,"5.5 Managing mobile component - Display of information, control and confirmation : Vertical List, Infinite List, Thumbnail List, Fisheye List, Carousel Grid, Film Strip, Slideshow, Infinite Area, Select List",Information hierarchy and layout guidelines,https://www.youtube.com/watch?v=bTleDi-G8hE,https://drive.google.com/drive/u/0/folders/1rJbz0TnIGmUb1m0JJowa0GfJjhyR0cHX,,,,,,,,,,,,,,,
cmppr7rif0002smq6z1c645n6,cmpplqlq40007h2qdsqpwwb6s,2.4,2.4 Arranging content in list,Displaying items effectively.,https://drive.google.com/file/d/1doKYzxvS-mDhIW7TJ9DpWsUSUOAPLmL3/preview,https://drive.google.com/file/d/17V_8qPxSTIOMsBtO1vHprNn85lBLHaWm/view?usp=drive_link,Apply principles of good user interface design,,,,,,,,,,,,,,
cmppr9ani0004smq6wyerk4zx,cmpplod0h0002h2qdk9xzhrp6,1.3,1.3 Human Considerations in Design,"Memory, learning, and perception.",https://drive.google.com/file/d/1cD7F26nYk9PVPax9x3O8MSj3PXjCDv08/preview,https://drive.google.com/file/d/1FWq9dvp-vrMsVjsk_sF-7qIN-7u8tPUb/view?usp=drive_link,Comprehend role of user and designer in User Interface Deign,,,,,,,,,,,,,,
cmpplqlq40008h2qd07h4ks2u,cmpplqlq40007h2qdsqpwwb6s,2.1,2.1 Information Architecture and Application Structure,Organizing complex information.,https://drive.google.com/file/d/1EDo_58-IkJBaDa5QMx-SK7zMZypLaeMI/preview,https://drive.google.com/file/d/1v7sPmQfTiKNdCN-_weS056cxG9OeMVPG/view?usp=drive_link,Apply principles of good user interface design,,,,,,,,,,,,,,
cmppr9ani0003smq6jvcfvdtu,cmpplod0h0002h2qdk9xzhrp6,1.2,1.2 Human Characteristics in Design,Cognitive and physical constraints.,https://drive.google.com/file/d/1ouC44LnXg907D8hiZIP1QSw-ufTY37lN/preview,https://drive.google.com/file/d/1p4bDMBeHdCE5wdstjIFcdu00QXla4fQS/view?usp=drive_link,Comprehend role of user and designer in User Interface Deign,,,,,,,,,,,,,https://drive.google.com/uc?id=1CN8zkUGwj2RIvipIqqovYDs48tHfMXHv&export=download,https://drive.google.com/file/d/1CN8zkUGwj2RIvipIqqovYDs48tHfMXHv/view?usp=drivesdk
cmppr7rif0000smq67uy75lqr,cmpplqlq40007h2qdsqpwwb6s,2.2,"2.2 Navigation, Signposts and wayfinding patterns",Guiding users through applications.,https://drive.google.com/file/d/1kEI0tAZZKezEUESNOIBdWitpi1LdiLFi/preview,https://drive.google.com/file/d/1r4FXpc6Jts89zaFlOia9AMXED-gv0jFD/view?usp=drive_link,Apply principles of good user interface design,,,,,,,,,,,,,,
cmpplod0h0003h2qdpvzpv0yt,cmpplod0h0002h2qdk9xzhrp6,1.1,1.1 Common problems with usability,Analyze common UX failures.,https://drive.google.com/file/d/1G_kUpr9RI9BAr3CAPrQ9QE9au15se-ck/preview,https://drive.google.com/file/d/1E43CwGdPYZrihA79ud4fSKnUsH5p6dHQ/view?usp=drive_link,Comprehend role of user and designer in User Interface Deign,,,,,,,,,,,,,,
